2015-11-12 13:44:33.251000
மழையையும் பொருட்படுத்தாமல் மதுவில் நீந்திய ‘குடி’மகன்கள்... தீபாவளி பண்டிகைக்கு ரூ. 372 கோடி விற்பனை,56,986
"Shatru again attackes BJP, says : If I were in election campaign, result would be better",49,601
"गिरीश कर्नाड को भी हत्या की धमकी, - Navbharat Times",142,1138
फेसबुक छो़ड़ दिया तो खुश रहेंगे: स्टडी - Navbharat Times,36,702
"Amid Tipu Sultan Row, Threats to Playwright Girish Karnad, BJP Lawmaker",56,189
Vaughan hits Shoaib for six,48,2845
मैसूर से बीजेपी सांसद प्रताप सिम्हा को मिली जान से मारने की धमकी - Navbharat Times,75,435
Cricket All-Stars 2015 2nd T20 - Social Feed,10,1600
15ம் தேதி முதல் தமிழகத்தில் மீண்டும் கனமழை: தென் மாவட்டங்களிலும் பெய்யும்!,8,986
"Rishi Kapoor feels Sooraj Pancholi, Athiya Shetty are stars in making",3,1557
भाजपा की इस 'बग़ावत' में कितना दम है? - BBC हिंदी,70,837
Designer Anju Modi was sceptical to do ‘Bajirao Mastani’ due to its scale,3,468
Never said Bihar results would have been different if I was the CM candidate: Shatrughan Sinha - Times of India,107,242
भाजपा में बुज़ुर्गों की इज़्ज़त नहींः गोविंदाचार्य - BBC हिंदी,200,769
"स्कर्ट की तस्वीर लेने के लिए गटर में छुपा रहा एक शख्स, अगले जन्म में 'फुटपाथ का हिस्सा' होने की चाहत - Navbharat Times",42,630
Never faced any issues in India: Fawad Khan on intolerance debate,87,1432
Mohammed Hafeez shines with the bat as Pakistan register victory in Younus Khan's last ODI,4,1163
"सलमान पर तंज, 'अंकल है पचास का, शक्ल पचीस की' - Navbharat Times",12,1179
Varun Dhawan feels Kriti Sanon is way TOO COOL for him!,0,241
Black students denied entry into Apple store because 'they might steal something' - Times of India,74,628
"Delhi's pollution level 23 times higher than normal, air quality to worsen in coming days",13,640
Arsenal's Mesut Özil Wore A Kurta And Wished Us On Diwali! How Awesome Is That?,17,493
"India Got Maximum Content Restricted, Says Facebook",6,165
"Tambah Amunisi, Janur Harap Regulasi Mahaka Bukan Formalitas",1,30
'Tipu Jayanti' violence: Karnataka CM Siddaramaiah orders probe,78,631
தளபதியின் கோட்டையிலேயே கத்தி வசூலை முறியடித்த வேதாளம்,23,331
Zulham Divonis Cedera 6-8 Bulan,26,135
Alibaba’s Singles Day shopping total was bigger than Facebook’s revenue last year,19,296
Priyanka Chopra loves TV world because of Ellen Pompeo,2,606
"Diwali 2015 Bali Pratipada Special: Know Puja Muhurat, Puja Vidhi & auspicious timings to celebrate Bali Pratipada today",0,544
BJP नेताओं की हत्या के आरोप में एटीएस ने सात को किया अरेस्ट - Navbharat Times,31,683
Shahid-Mira to Ranbir-Katrina: B-Towners join Anil and Sonam for a jhakaas Diwali bash,1,377
Who Wore What: Diwali Edition,7,852
Nitish Kumar cabinet: None of Lalu Yadav’s sons to become deputy CM,47,453
RSS Affiliate Warns Government Over Foreign Investment Push,4,41
CM उम्मीदवारी को लेकर शत्रुघ्न सिन्हा ने दी सफाई - Navbharat Times,28,515
A dip into history: Chosen Chennai men dived deep with India’s first ever submarine,18,774
Spin-wary South Africa seek revival in AB de Villiers's 100th Test - Times of India,0,329
"Why Anant Kumar, New Bihar Lawmaker, Did Not Campaign For a Single Day",55,301
Facebook Reports Spike in Indian Government Requests for Data,1,670
'मेड इन इसराइल' को ईयू का झटका - BBC हिंदी,25,429
"शेन वॉर्न की टीम ने पीटे सचिंस ब्लास्टर्स, 57 रन से हराया - Navbharat Times",7,516
न्यूज़ अलर्ट: हार पर भाजपा में घमासान - BBC हिंदी,58,945
डिलिवरी बॉय से परेशान लड़की ने छोड़ा शहर - Navbharat Times,1,330
“ப்ளூ மூன்”- இது நிலா இல்லைங்க; 320 கோடிக்கு ஏலம் போன உலகின் அரிய நீல நிற வைரம்!,1,461
Pakistan Army chief Raheel Sharif invites himself to the US,155,457
"दूध में डिटर्जेंट है या नहीं, ऐसे पकड़िए.. - BBC हिंदी",15,538
"No ‘nosy questions’ for Anushka Sharma, please",1,635
"PRDP quick take: Sugar-coated romance, high on moral values",7,364
Cassini spots monstrous ice cloud on Saturn's moon Titan,2,256
"More Trouble For Kerala Government, Another Minister Accused of Bribery",34,235
Everything You Need To Know About Myanmar's Elections And Recent Political History,26,469
Long-pending issue of OROP has been resolved: PM Narendra Modi,37,393
"Former Tamil Nadu Lawmaker Found Dead in His Car, Suicide Suspected",3,104
कांग्रेस के पोस्‍टर में सोनिया-राहुल-मनमोहन के साथ दिखे आरक्षण आंदोलन से चर्चा में आए हार्दिक पटेल,10,132
This Video Of Ranbir & Deepika Dancing On 'Matargashti' On Diwali Is Simply Adorable!,5,218
Vladimir Putin orders action on Russia doping scandal,22,489
"Will stand by you against injustice, Nawaz Sharif tells Pakistani Hindus",39,413
Qualcomm Snapdragon 820 SoC With 2.2GHz Quad-Core Kryo CPU Launched,1,174
"Quitting Facebook makes you feel happy, less lonely: Study",4,310
Allow Sikhs to Serve in Military With Articles of Faith: US Vets,2,335
OROP protest: 'A volcano getting ready to erupt',64,224
Ponytail Trick: Make Your Hair Appear Longer | Tips And Tricks,1,467
BJP’s DNA is such that it can tackle hotheads only with some help from RSS,74,153
"India vs Guam 2018 FIFA World Cup qualifier preview: Match time, where to watch live, possible line-ups",5,812
You Are Not Seeing Double. Twin Marries Twin In Kerala In The Presence Of Twin Priests,2,54
Diwali 2015 Bali Pratipada Special: Importance & Significance of Diwali legend King Bali,0,625
OROP protests: 'A volcano getting ready to erupt',65,229
Jathedar Appointed by Sikh Hardliners Arrested From Golden Temple,3,488
"WATCH: Manchester United, Arsenal wish their fans in India a Happy Diwali",4,336
"DriveSpark Tamil - பிஎம்டபிள்யூ - டிவிஎஸ் கூட்டணியின் முதல் பைக் - அதிகாரப்பூர்வ படங்கள், தகவல்கள்",1,162
"Woman 'raped 43,200' times speaks out about Mexico's human trafficking rings - Times of India",112,229
Dope Dealer Gets Easily Arrested After Advertising on Facebook,10,146
अंपायरों की सुरक्षा के लिए उठी हेल्मेट की मांग - Navbharat Times,0,415
Infosys a brand for digital services in US: Report - Times of India,0,10
German Prosecutor Investigates Facebook Manager for Ignoring Racist Posts,0,1
दिन में इंसाफ के लिए लड़ने वाली दोनों बहनें रात में ऑटो स्टैंड की करती हैं रखवाली - Navbharat Times,2,331
Girish Karnad offers apology for ‘slighting’ Kempe Gowda,50,189
In Raw Mango - High Heel Confidential,1,178
Tips to reduce working hours and get better results 562403,16,394
